citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number,not_received_for_publication
88 FR 30891, 2023-10407,30892,https://www.federalregister.gov/documents/2023/05/15/2023-10407/moving-beyond-covid-19-vaccination-requirements-for-federal-workers,https://www.govinfo.gov/content/pkg/FR-2023-05-15/pdf/2023-10407.pdf,Presidential Document,Executive Order,05/15/2023,2023-05-09,30891,Moving Beyond COVID-19 Vaccination Requirements for Federal Workers,"Revokes: EO 14043, September 9, 2021; EO 14042, September 9, 2021",14099,""
88 FR 29529, 2023-09826,29533,https://www.federalregister.gov/documents/2023/05/05/2023-09826/imposing-sanctions-on-certain-persons-destabilizing-sudan-and-undermining-the-goal-of-a-democratic,https://www.govinfo.gov/content/pkg/FR-2023-05-05/pdf/2023-09826.pdf,Presidential Document,Executive Order,05/05/2023,2023-05-04,29529,Imposing Sanctions on Certain Persons Destabilizing Sudan and Undermining the Goal of a Democratic Transition,"See: EO 13067, November 3, 1997; EO 13400, April 26, 2006; Proc. 8693 of July 24, 2011; EO 13761, January 13, 2017; EO 13804, January 11, 2017",14098,""
88 FR 26471, 2023-09318,26472,https://www.federalregister.gov/documents/2023/05/01/2023-09318/authority-to-order-the-ready-reserve-of-the-armed-forces-to-active-duty-to-address-international,https://www.govinfo.gov/content/pkg/FR-2023-05-01/pdf/2023-09318.pdf,Presidential Document,Executive Order,05/01/2023,2023-04-27,26471,Authority To Order the Ready Reserve of the Armed Forces to Active Duty To Address International Drug Trafficking,"See: EO 14059, December 15, 2021",14097,""
88 FR 25251, 2023-08955,25261,https://www.federalregister.gov/documents/2023/04/26/2023-08955/revitalizing-our-nations-commitment-to-environmental-justice-for-all,https://www.govinfo.gov/content/pkg/FR-2023-04-26/pdf/2023-08955.pdf,Presidential Document,Executive Order,04/26/2023,2023-04-21,25251,Revitalizing Our Nation's Commitment to Environmental Justice for All,"See: EO 12250, November 2, 1980; EO 12975, October 3, 1995; EO 13007, May 24, 1996; EO 13175, November 6, 2000; EO 13985, January 20, 2021; EO 13990, January 20, 2021; Memo. of January 26, 2021; EO 14008, January 27, 2021; EO 14052, November 15, 2021; EO 14057, December 8, 2021; EO 14082, September 12, 2022; Memo. of November 30, 2022; EO 14091, February 16, 2023
Amends: EO 12898, February 11, 1994",14096,""
88 FR 24669, 2023-08659,24676,https://www.federalregister.gov/documents/2023/04/21/2023-08659/increasing-access-to-high-quality-care-and-supporting-caregivers,https://www.govinfo.gov/content/pkg/FR-2023-04-21/pdf/2023-08659.pdf,Presidential Document,Executive Order,04/21/2023,2023-04-18,24669,Increasing Access to High-Quality Care and Supporting Caregivers,"",14095,""
88 FR 21879, 2023-07760,21881,https://www.federalregister.gov/documents/2023/04/11/2023-07760/modernizing-regulatory-review,https://www.govinfo.gov/content/pkg/FR-2023-04-11/pdf/2023-07760.pdf,Presidential Document,Executive Order,04/11/2023,2023-04-06,21879,Modernizing Regulatory Review,"See: EO 12866, September 30, 1993;  EO 13563, January 18, 2021; Memo. of January 20, 2021",14094,""
88 FR 18957, 2023-06730,18963,https://www.federalregister.gov/documents/2023/03/30/2023-06730/prohibition-on-use-by-the-united-states-government-of-commercial-spyware-that-poses-risks-to,https://www.govinfo.gov/content/pkg/FR-2023-03-30/pdf/2023-06730.pdf,Presidential Document,Executive Order,03/30/2023,2023-03-27,18957,Prohibition on Use by the United States Government of Commercial Spyware That Poses Risks to National Security,"See: EO 12333, December 4, 1981",14093,""
88 FR 16527, 2023-05714,16529,https://www.federalregister.gov/documents/2023/03/17/2023-05714/reducing-gun-violence-and-making-our-communities-safer,https://www.govinfo.gov/content/pkg/FR-2023-03-17/pdf/2023-05714.pdf,Presidential Document,Executive Order,03/17/2023,2023-03-14,16527,Reducing Gun Violence and Making Our Communities Safer,"",14092,""
88 FR 10825, 2023-03779,10833,https://www.federalregister.gov/documents/2023/02/22/2023-03779/further-advancing-racial-equity-and-support-for-underserved-communities-through-the-federal,https://www.govinfo.gov/content/pkg/FR-2023-02-22/pdf/2023-03779.pdf,Presidential Document,Executive Order,02/22/2023,2023-02-16,10825,Further Advancing Racial Equity and Support for Underserved Communities Through the Federal Government,"See: EO 12072, August 16, 1978; EO 12866, September 30, 1993; EO 13006, May 21, 1996; EO 13166, August 11, 2000; EO 13985, January 20, 2021; EO 13988, January 20, 2021; EO 13989, January 20, 2021; EO 14008, January 27, 2021; Memo of January 27, 2021; EO 14020, March 8, 2021; EO 14031, May 28, 2021; EO 14035, June 25, 2021; EO 14041, September 3, 2021; EO 14045, September 13, 2021; EO 14049, October 11, 2021; EO 14050, October 19, 2021; EO 14058, December 13, 2021; EO 14121, March 27, 2024
Revokes: EO 13853, December 12, 2018; EO 13946, August 24, 2020",14091,""
87 FR 79985, 2022-28474,79997,https://www.federalregister.gov/documents/2022/12/29/2022-28474/adjustments-of-certain-rates-of-pay,https://www.govinfo.gov/content/pkg/FR-2022-12-29/pdf/2022-28474.pdf,Presidential Document,Executive Order,12/29/2022,2022-12-23,79985,Adjustments of Certain Rates of Pay,"Supersedes: EO 14061, December 22, 2021
Superseded by: EO 14113, December 21, 2023",14090,""
