citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,proclamation_number
87 FR 149, 2021-28534,150,https://www.federalregister.gov/documents/2022/01/03/2021-28534/revoking-proclamation-10315,https://www.govinfo.gov/content/pkg/FR-2022-01-03/pdf/2021-28534.pdf,Presidential Document,Proclamation,01/03/2022,2021-12-28,149,Revoking Proclamation 10315,"",10329
87 FR 151, 2021-28554,151,https://www.federalregister.gov/documents/2022/01/04/2021-28554/death-of-harry-reid,https://www.govinfo.gov/content/pkg/FR-2022-01-04/pdf/2021-28554.pdf,Presidential Document,Proclamation,01/04/2022,2021-12-29,151,Death of Harry Reid,"",10330
87 FR 869, 2022-00162,870,https://www.federalregister.gov/documents/2022/01/06/2022-00162/national-human-trafficking-prevention-month-2022,https://www.govinfo.gov/content/pkg/FR-2022-01-06/pdf/2022-00162.pdf,Presidential Document,Proclamation,01/06/2022,2021-12-30,869,"National Human Trafficking Prevention Month, 2022","",10331
87 FR 871, 2022-00167,872,https://www.federalregister.gov/documents/2022/01/06/2022-00167/national-mentoring-month-2022,https://www.govinfo.gov/content/pkg/FR-2022-01-06/pdf/2022-00167.pdf,Presidential Document,Proclamation,01/06/2022,2021-12-30,871,"National Mentoring Month, 2022","",10332
87 FR 873, 2022-00169,874,https://www.federalregister.gov/documents/2022/01/06/2022-00169/national-stalking-awareness-month-2022,https://www.govinfo.gov/content/pkg/FR-2022-01-06/pdf/2022-00169.pdf,Presidential Document,Proclamation,01/06/2022,2021-12-30,873,"National Stalking Awareness Month, 2022","",10333
87 FR 3021, 2022-01162,3022,https://www.federalregister.gov/documents/2022/01/20/2022-01162/religious-freedom-day-2022,https://www.govinfo.gov/content/pkg/FR-2022-01-20/pdf/2022-01162.pdf,Presidential Document,Proclamation,01/20/2022,2022-01-14,3021,"Religious Freedom Day, 2022","",10334
87 FR 3023, 2022-01163,3024,https://www.federalregister.gov/documents/2022/01/20/2022-01163/martin-luther-king-jr-federal-holiday-2022,https://www.govinfo.gov/content/pkg/FR-2022-01-20/pdf/2022-01163.pdf,Presidential Document,Proclamation,01/20/2022,2022-01-14,3023,"Martin Luther King, Jr., Federal Holiday, 2022","",10335
87 FR 6395, 2022-02447,6396,https://www.federalregister.gov/documents/2022/02/03/2022-02447/american-heart-month-2022,https://www.govinfo.gov/content/pkg/FR-2022-02-03/pdf/2022-02447.pdf,Presidential Document,Proclamation,02/03/2022,2022-01-31,6395,"American Heart Month, 2022","",10336
87 FR 6397, 2022-02456,6399,https://www.federalregister.gov/documents/2022/02/03/2022-02456/national-black-history-month-2022,https://www.govinfo.gov/content/pkg/FR-2022-02-03/pdf/2022-02456.pdf,Presidential Document,Proclamation,02/03/2022,2022-01-31,6397,"National Black History Month, 2022","",10337
87 FR 6401, 2022-02458,6402,https://www.federalregister.gov/documents/2022/02/03/2022-02458/national-teen-dating-violence-awareness-and-prevention-month-2022,https://www.govinfo.gov/content/pkg/FR-2022-02-03/pdf/2022-02458.pdf,Presidential Document,Proclamation,02/03/2022,2022-01-31,6401,"National Teen Dating Violence Awareness and Prevention Month, 2022","",10338
87 FR 7357, 2022-02906,7362,https://www.federalregister.gov/documents/2022/02/09/2022-02906/to-continue-facilitating-positive-adjustment-to-competition-from-imports-of-certain-crystalline,https://www.govinfo.gov/content/pkg/FR-2022-02-09/pdf/2022-02906.pdf,Presidential Document,Proclamation,02/09/2022,2022-02-04,7357,To Continue Facilitating Positive Adjustment to Competition From Imports of Certain Crystalline Silicon Photovoltaic Cells (Whether or Not Partially or Fully Assembled Into Other Products),"",10339
87 FR 10675, 2022-04096,10676,https://www.federalregister.gov/documents/2022/02/24/2022-04096/national-eating-disorders-awareness-week-2022,https://www.govinfo.gov/content/pkg/FR-2022-02-24/pdf/2022-04096.pdf,Presidential Document,Proclamation,02/24/2022,2022-02-18,10675,"National Eating Disorders Awareness Week, 2022","",10340
87 FR 10677, 2022-04103,10679,https://www.federalregister.gov/documents/2022/02/24/2022-04103/day-of-remembrance-of-japanese-american-incarceration-during-world-war-ii,https://www.govinfo.gov/content/pkg/FR-2022-02-24/pdf/2022-04103.pdf,Presidential Document,Proclamation,02/24/2022,2022-02-18,10677,Day of Remembrance of Japanese American Incarceration During World War II,"",10341
87 FR 11923, 2022-04610,11924,https://www.federalregister.gov/documents/2022/03/03/2022-04610/american-red-cross-month-2022,https://www.govinfo.gov/content/pkg/FR-2022-03-03/pdf/2022-04610.pdf,Presidential Document,Proclamation,03/03/2022,2022-02-28,11923,"American Red Cross Month, 2022","",10342
87 FR 11925, 2022-04611,11926,https://www.federalregister.gov/documents/2022/03/03/2022-04611/irish-american-heritage-month-2022,https://www.govinfo.gov/content/pkg/FR-2022-03-03/pdf/2022-04611.pdf,Presidential Document,Proclamation,03/03/2022,2022-02-28,11925,"Irish-American Heritage Month, 2022","",10343
87 FR 11927, 2022-04613,11928,https://www.federalregister.gov/documents/2022/03/03/2022-04613/national-colorectal-cancer-awareness-month-2022,https://www.govinfo.gov/content/pkg/FR-2022-03-03/pdf/2022-04613.pdf,Presidential Document,Proclamation,03/03/2022,2022-02-28,11927,"National Colorectal Cancer Awareness Month, 2022","",10344
87 FR 11929, 2022-04614,11931,https://www.federalregister.gov/documents/2022/03/03/2022-04614/womens-history-month-2022,https://www.govinfo.gov/content/pkg/FR-2022-03-03/pdf/2022-04614.pdf,Presidential Document,Proclamation,03/03/2022,2022-02-28,11929,"Women's History Month, 2022","",10345
87 FR 12389, 2022-04776,12390,https://www.federalregister.gov/documents/2022/03/04/2022-04776/read-across-america-day-2022,https://www.govinfo.gov/content/pkg/FR-2022-03-04/pdf/2022-04776.pdf,Presidential Document,Proclamation,03/04/2022,2022-03-01,12389,"Read Across America Day, 2022","",10346
87 FR 13115, 2022-05109,13116,https://www.federalregister.gov/documents/2022/03/09/2022-05109/national-consumer-protection-week-2022,https://www.govinfo.gov/content/pkg/FR-2022-03-09/pdf/2022-05109.pdf,Presidential Document,Proclamation,03/09/2022,2022-03-04,13115,"National Consumer Protection Week, 2022","",10347
87 FR 15029, 2022-05797,15030,https://www.federalregister.gov/documents/2022/03/17/2022-05797/national-equal-pay-day-2022,https://www.govinfo.gov/content/pkg/FR-2022-03-17/pdf/2022-05797.pdf,Presidential Document,Proclamation,03/17/2022,2022-03-14,15029,"National Equal Pay Day, 2022","",10348
87 FR 16369, 2022-06248,16370,https://www.federalregister.gov/documents/2022/03/23/2022-06248/national-poison-prevention-week-2022,https://www.govinfo.gov/content/pkg/FR-2022-03-23/pdf/2022-06248.pdf,Presidential Document,Proclamation,03/23/2022,2022-03-18,16369,"National Poison Prevention Week, 2022","",10349
87 FR 16981, 2022-06393,16982,https://www.federalregister.gov/documents/2022/03/24/2022-06393/national-agriculture-day-2022,https://www.govinfo.gov/content/pkg/FR-2022-03-24/pdf/2022-06393.pdf,Presidential Document,Proclamation,03/24/2022,2022-03-21,16981,"National Agriculture Day, 2022","",10350
